W, [2018-07-11T09:15:11.512881 #3074]  WARN -- default-centos-72: Deprecated configuration detected:
require_chef_omnibus
Run 'kitchen doctor' for details.

I, [2018-07-11T09:16:14.307971 #3074]  INFO -- default-centos-72:     - enable service service[httpd]
I, [2018-07-11T09:16:14.445625 #3074]  INFO -- default-centos-72:   * service[httpd] action start
I, [2018-07-11T09:16:14.446841 #3074]  INFO -- default-centos-72:     - start service service[httpd]
I, [2018-07-11T09:16:14.449707 #3074]  INFO -- default-centos-72:   * template[/var/www/html/index.html] action create
I, [2018-07-11T09:16:14.451224 #3074]  INFO -- default-centos-72:     - create new file /var/www/html/index.html
I, [2018-07-11T09:16:14.451845 #3074]  INFO -- default-centos-72:     - update content in file /var/www/html/index.html from none to 5bf10e
I, [2018-07-11T09:16:14.452876 #3074]  INFO -- default-centos-72:     --- /var/www/html/index.html	2018-07-11 13:16:14.443918221 +0000
I, [2018-07-11T09:16:14.454030 #3074]  INFO -- default-centos-72:     +++ /var/www/html/.chef-index20180711-248-bsorz8.html	2018-07-11 13:16:14.443918221 +0000
I, [2018-07-11T09:16:14.454996 #3074]  INFO -- default-centos-72:     @@ -1 +1,2 @@
I, [2018-07-11T09:16:14.456475 #3074]  INFO -- default-centos-72:     +Hello World from 67d41d46de70
I, [2018-07-11T09:16:14.457284 #3074]  INFO -- default-centos-72:     - change owner from '' to 'apache'
I, [2018-07-11T09:16:14.458204 #3074]  INFO -- default-centos-72:     - change group from '' to 'apache'
I, [2018-07-11T09:16:14.484736 #3074]  INFO -- default-centos-72:   * execute[systemctl start httpd] action run
I, [2018-07-11T09:16:14.485458 #3074]  INFO -- default-centos-72:     - execute systemctl start httpd
I, [2018-07-11T09:16:14.494406 #3074]  INFO -- default-centos-72:   * hello_httpd[greet world] action create
I, [2018-07-11T09:16:14.613961 #3074]  INFO -- default-centos-72:     * yum_package[httpd] action install (up to date)
I, [2018-07-11T09:16:14.698869 #3074]  INFO -- default-centos-72:     * service[httpd] action enable (up to date)
I, [2018-07-11T09:16:14.794378 #3074]  INFO -- default-centos-72:     * service[httpd] action start (up to date)
I, [2018-07-11T09:16:14.800442 #3074]  INFO -- default-centos-72:     * template[/var/www/html/index.html] action create (up to date)
I, [2018-07-11T09:16:14.801550 #3074]  INFO -- default-centos-72:      (up to date)
I, [2018-07-11T09:16:14.837151 #3074]  INFO -- default-centos-72: 
I, [2018-07-11T09:16:14.837671 #3074]  INFO -- default-centos-72: Running handlers:
I, [2018-07-11T09:16:14.838175 #3074]  INFO -- default-centos-72: Running handlers complete
I, [2018-07-11T09:16:14.838505 #3074]  INFO -- default-centos-72: 
I, [2018-07-11T09:16:14.838935 #3074]  INFO -- default-centos-72: Deprecated features used!
I, [2018-07-11T09:16:14.839397 #3074]  INFO -- default-centos-72:   rename greeting to new_resource.greeting at 1 location:
